processo: 737, tentativas: 14, sucesso: 0
processo: 817, tentativas: 7, sucesso: 2
processo: 925, tentativas: 8, sucesso: 1
processo: 721, tentativas: 9, sucesso: 2
processo: 420, tentativas: 3, sucesso: 0
processo: 373, tentativas: 2, sucesso: 0
processo: 842, tentativas: 3, sucesso: 2
processo: 484, tentativas: 12, sucesso: 2
processo: 976, tentativas: 9, sucesso: 0
processo: 35, tentativas: 6, sucesso: 2
processo: 62, tentativas: 6, sucesso: 2
processo: 390, tentativas: 22, sucesso: 2
processo: 936, tentativas: 4, sucesso: 0
processo: 511, tentativas: 2, sucesso: 0
processo: 744, tentativas: 2, sucesso: 0
processo: 400, tentativas: 9, sucesso: 2
processo: 926, tentativas: 4, sucesso: 1
processo: 424, tentativas: 14, sucesso: 1
processo: 785, tentativas: 4, sucesso: 0
processo: 505, tentativas: 8, sucesso: 1
processo: 973, tentativas: 10, sucesso: 1
processo: 688, tentativas: 7, sucesso: 1
processo: 318, tentativas: 4, sucesso: 0
processo: 843, tentativas: 11, sucesso: 2
processo: 442, tentativas: 7, sucesso: 0
processo: 73, tentativas: 11, sucesso: 0
processo: 784, tentativas: 6, sucesso: 1
processo: 252, tentativas: 11, sucesso: 2
processo: 552, tentativas: 7, sucesso: 0
processo: 137, tentativas: 5, sucesso: 2
processo: 167, tentativas: 18, sucesso: 1
processo: 718, tentativas: 4, sucesso: 0
processo: 694, tentativas: 10, sucesso: 0
processo: 958, tentativas: 3, sucesso: 1
processo: 487, tentativas: 3, sucesso: 0
processo: 323, tentativas: 8, sucesso: 0
processo: 988, tentativas: 3, sucesso: 2
processo: 755, tentativas: 10, sucesso: 1
processo: 689, tentativas: 15, sucesso: 1
processo: 823, tentativas: 12, sucesso: 0
processo: 581, tentativas: 27, sucesso: 1
processo: 833, tentativas: 8, sucesso: 0
processo: 248, tentativas: 7, sucesso: 1
processo: 327, tentativas: 3, sucesso: 0
processo: 850, tentativas: 8, sucesso: 1
processo: 890, tentativas: 18, sucesso: 3
processo: 139, tentativas: 10, sucesso: 1
processo: 866, tentativas: 13, sucesso: 2
processo: 524, tentativas: 6, sucesso: 1
processo: 661, tentativas: 12, sucesso: 1
processo: 904, tentativas: 13, sucesso: 2
processo: 921, tentativas: 18, sucesso: 2
processo: 100, tentativas: 12, sucesso: 0
processo: 391, tentativas: 14, sucesso: 0
processo: 702, tentativas: 7, sucesso: 3
processo: 901, tentativas: 9, sucesso: 0
processo: 990, tentativas: 5, sucesso: 0
processo: 834, tentativas: 1, sucesso: 0
processo: 75, tentativas: 13, sucesso: 1
processo: 961, tentativas: 7, sucesso: 0
processo: 708, tentativas: 14, sucesso: 1
processo: 426, tentativas: 2, sucesso: 0
processo: 141, tentativas: 2, sucesso: 1
processo: 300, tentativas: 2, sucesso: 0
processo: 696, tentativas: 4, sucesso: 1
processo: 447, tentativas: 5, sucesso: 2
processo: 684, tentativas: 11, sucesso: 1
processo: 281, tentativas: 26, sucesso: 0
processo: 47, tentativas: 6, sucesso: 3
processo: 324, tentativas: 10, sucesso: 4
processo: 136, tentativas: 14, sucesso: 0
processo: 549, tentativas: 8, sucesso: 1
processo: 267, tentativas: 2, sucesso: 1
processo: 187, tentativas: 6, sucesso: 1
processo: 931, tentativas: 13, sucesso: 1
processo: 905, tentativas: 13, sucesso: 0
processo: 43, tentativas: 36, sucesso: 0
processo: 225, tentativas: 2, sucesso: 0
processo: 805, tentativas: 12, sucesso: 1
processo: 20, tentativas: 19, sucesso: 2
processo: 916, tentativas: 3, sucesso: 0
processo: 452, tentativas: 2, sucesso: 0
processo: 770, tentativas: 9, sucesso: 2
processo: 527, tentativas: 5, sucesso: 2
processo: 907, tentativas: 8, sucesso: 3
processo: 273, tentativas: 7, sucesso: 4
processo: 83, tentativas: 4, sucesso: 3
processo: 605, tentativas: 15, sucesso: 0
processo: 941, tentativas: 6, sucesso: 2
processo: 670, tentativas: 17, sucesso: 1
