48, 15,  3
192, 5,  0
982, 7,  1
984, 1,  0
596, 5,  3
521, 8,  0
242, 6,  3
275, 4,  2
305, 3,  0
59, 13,  2
809, 1,  0
776, 1,  0
19, 5,  0
489, 17,  2
386, 7,  0
713, 4,  1
517, 3,  1
715, 7,  2
418, 9,  0
268, 4,  1
966, 6,  1
438, 7,  2
695, 1,  0
323, 3,  0
584, 3,  2
05, 5,  1
68, 11,  2
211, 16,  0
221, 1,  0
501, 26,  3
362, 4,  0
970, 6,  1
858, 3,  1
547, 2,  0
737, 5,  3
229, 8,  1
95, 12,  1
384, 8,  0
351, 5,  1
800, 1,  0
134, 3,  0
660, 4,  2
33, 3,  2
258, 9,  0
147, 2,  0
254, 9,  1
787, 10,  2
552, 2,  0
312, 6,  0
973, 4,  2
150, 3,  0
257, 2,  0
863, 6,  0
846, 6,  1
651, 16,  1
514, 3,  1
203, 5,  1
947, 17,  0
751, 10,  1
505, 2,  0
373, 2,  0
813, 8,  0
612, 4,  1
200, 4,  1
670, 11,  2
151, 9,  4
810, 3,  2
194, 12,  2
509, 2,  0
250, 2,  0
378, 3,  1
184, 3,  1
355, 3,  0
785, 9,  1
962, 16,  0
678, 8,  2
793, 4,  0
754, 2,  0
168, 12,  0
654, 3,  2
856, 12,  0
551, 7,  2
198, 4,  2
874, 6,  3
834, 1,  0
428, 4,  0
224, 5,  2
697, 4,  1
213, 16,  2
32, 7,  1
06, 9,  0
669, 21,  2
772, 1,  0
133, 6,  3
44, 11,  1
319, 6,  1
115, 9,  1
307, 6,  0
568, 4,  1
427, 9,  0
953, 2,  1
572, 4,  1
429, 4,  1
870, 10,  2
604, 18,  3
601, 12,  4
922, 2,  1
784, 1,  0
665, 2,  0
85, 8,  0
310, 9,  0
788, 16,  2
343, 2,  0
98, 5,  0
971, 13,  0
272, 8,  3
614, 12,  2
586, 5,  1
746, 3,  0
423, 11,  2
630, 5,  1
190, 10,  2
396, 8,  1
228, 3,  1
755, 4,  0
820, 3,  1
598, 3,  0
126, 12,  4
723, 3,  1
120, 5,  0
422, 8,  2
411, 7,  1
985, 1,  0
488, 34,  1
398, 9,  2
300, 13,  3
495, 5,  0
01, 2,  0
708, 4,  0
67, 5,  1
835, 7,  3
21, 10,  0
415, 6,  1
861, 5,  0
326, 4,  1
121, 37,  1
61, 5,  3
655, 13,  3
770, 2,  0
340, 7,  3
394, 12,  0
749, 9,  1
972, 4,  3
701, 4,  0
383, 6,  0
110, 4,  2
261, 8,  4
372, 9,  2
122, 10,  0
645, 3,  0
290, 11,  3
246, 5,  2
826, 11,  1
306, 2,  1
652, 3,  0
392, 6,  2
437, 7,  4
90, 9,  1
916, 2,  1
114, 10,  0
408, 3,  2
400, 1,  0
316, 11,  2
483, 5,  3
460, 9,  0
297, 2,  0
698, 9,  4
335, 7,  0
271, 1,  0
60, 11,  3
780, 3,  0
883, 3,  0
961, 4,  0
504, 6,  0
447, 3,  0
906, 3,  1
786, 13,  0
206, 5,  0
878, 2,  0
195, 4,  0
872, 2,  0
