processo: 48, tentativas: 15, sucesso: 3
processo: 192, tentativas: 5, sucesso: 0
processo: 982, tentativas: 7, sucesso: 1
processo: 984, tentativas: 1, sucesso: 0
processo: 596, tentativas: 5, sucesso: 3
processo: 521, tentativas: 8, sucesso: 0
processo: 242, tentativas: 6, sucesso: 3
processo: 275, tentativas: 4, sucesso: 2
processo: 305, tentativas: 3, sucesso: 0
processo: 59, tentativas: 13, sucesso: 2
processo: 809, tentativas: 1, sucesso: 0
processo: 776, tentativas: 1, sucesso: 0
processo: 19, tentativas: 5, sucesso: 0
processo: 489, tentativas: 17, sucesso: 2
processo: 386, tentativas: 7, sucesso: 0
processo: 713, tentativas: 4, sucesso: 1
processo: 517, tentativas: 3, sucesso: 1
processo: 715, tentativas: 7, sucesso: 2
processo: 418, tentativas: 9, sucesso: 0
processo: 268, tentativas: 4, sucesso: 1
processo: 966, tentativas: 6, sucesso: 1
processo: 438, tentativas: 7, sucesso: 2
processo: 695, tentativas: 1, sucesso: 0
processo: 323, tentativas: 3, sucesso: 0
processo: 584, tentativas: 3, sucesso: 2
processo: 05, tentativas: 5, sucesso: 1
processo: 68, tentativas: 11, sucesso: 2
processo: 211, tentativas: 16, sucesso: 0
processo: 221, tentativas: 1, sucesso: 0
processo: 501, tentativas: 26, sucesso: 3
processo: 362, tentativas: 4, sucesso: 0
processo: 970, tentativas: 6, sucesso: 1
processo: 858, tentativas: 3, sucesso: 1
processo: 547, tentativas: 2, sucesso: 0
processo: 737, tentativas: 5, sucesso: 3
processo: 229, tentativas: 8, sucesso: 1
processo: 95, tentativas: 12, sucesso: 1
processo: 384, tentativas: 8, sucesso: 0
processo: 351, tentativas: 5, sucesso: 1
processo: 800, tentativas: 1, sucesso: 0
processo: 134, tentativas: 3, sucesso: 0
processo: 660, tentativas: 4, sucesso: 2
processo: 33, tentativas: 3, sucesso: 2
processo: 258, tentativas: 9, sucesso: 0
processo: 147, tentativas: 2, sucesso: 0
processo: 254, tentativas: 9, sucesso: 1
processo: 787, tentativas: 10, sucesso: 2
processo: 552, tentativas: 2, sucesso: 0
processo: 312, tentativas: 6, sucesso: 0
processo: 973, tentativas: 4, sucesso: 2
processo: 150, tentativas: 3, sucesso: 0
processo: 257, tentativas: 2, sucesso: 0
processo: 863, tentativas: 6, sucesso: 0
processo: 846, tentativas: 6, sucesso: 1
processo: 651, tentativas: 16, sucesso: 1
processo: 514, tentativas: 3, sucesso: 1
processo: 203, tentativas: 5, sucesso: 1
processo: 947, tentativas: 17, sucesso: 0
processo: 751, tentativas: 10, sucesso: 1
processo: 505, tentativas: 2, sucesso: 0
processo: 373, tentativas: 2, sucesso: 0
processo: 813, tentativas: 8, sucesso: 0
processo: 612, tentativas: 4, sucesso: 1
processo: 200, tentativas: 4, sucesso: 1
processo: 670, tentativas: 11, sucesso: 2
processo: 151, tentativas: 9, sucesso: 4
processo: 810, tentativas: 3, sucesso: 2
processo: 194, tentativas: 12, sucesso: 2
processo: 509, tentativas: 2, sucesso: 0
processo: 250, tentativas: 2, sucesso: 0
processo: 378, tentativas: 3, sucesso: 1
processo: 184, tentativas: 3, sucesso: 1
processo: 355, tentativas: 3, sucesso: 0
processo: 785, tentativas: 9, sucesso: 1
processo: 962, tentativas: 16, sucesso: 0
processo: 678, tentativas: 8, sucesso: 2
processo: 793, tentativas: 4, sucesso: 0
processo: 754, tentativas: 2, sucesso: 0
processo: 168, tentativas: 12, sucesso: 0
processo: 654, tentativas: 3, sucesso: 2
processo: 856, tentativas: 12, sucesso: 0
processo: 551, tentativas: 7, sucesso: 2
processo: 198, tentativas: 4, sucesso: 2
processo: 874, tentativas: 6, sucesso: 3
processo: 834, tentativas: 1, sucesso: 0
processo: 428, tentativas: 4, sucesso: 0
processo: 224, tentativas: 5, sucesso: 2
processo: 697, tentativas: 4, sucesso: 1
processo: 213, tentativas: 16, sucesso: 2
processo: 32, tentativas: 7, sucesso: 1
processo: 06, tentativas: 9, sucesso: 0
processo: 669, tentativas: 21, sucesso: 2
processo: 772, tentativas: 1, sucesso: 0
processo: 133, tentativas: 6, sucesso: 3
processo: 44, tentativas: 11, sucesso: 1
processo: 319, tentativas: 6, sucesso: 1
processo: 115, tentativas: 9, sucesso: 1
processo: 307, tentativas: 6, sucesso: 0
processo: 568, tentativas: 4, sucesso: 1
processo: 427, tentativas: 9, sucesso: 0
processo: 953, tentativas: 2, sucesso: 1
processo: 572, tentativas: 4, sucesso: 1
processo: 429, tentativas: 4, sucesso: 1
processo: 870, tentativas: 10, sucesso: 2
processo: 604, tentativas: 18, sucesso: 3
processo: 601, tentativas: 12, sucesso: 4
processo: 922, tentativas: 2, sucesso: 1
processo: 784, tentativas: 1, sucesso: 0
processo: 665, tentativas: 2, sucesso: 0
processo: 85, tentativas: 8, sucesso: 0
processo: 310, tentativas: 9, sucesso: 0
processo: 788, tentativas: 16, sucesso: 2
processo: 343, tentativas: 2, sucesso: 0
processo: 98, tentativas: 5, sucesso: 0
processo: 971, tentativas: 13, sucesso: 0
processo: 272, tentativas: 8, sucesso: 3
processo: 614, tentativas: 12, sucesso: 2
processo: 586, tentativas: 5, sucesso: 1
processo: 746, tentativas: 3, sucesso: 0
processo: 423, tentativas: 11, sucesso: 2
processo: 630, tentativas: 5, sucesso: 1
processo: 190, tentativas: 10, sucesso: 2
processo: 396, tentativas: 8, sucesso: 1
processo: 228, tentativas: 3, sucesso: 1
processo: 755, tentativas: 4, sucesso: 0
processo: 820, tentativas: 3, sucesso: 1
processo: 598, tentativas: 3, sucesso: 0
processo: 126, tentativas: 12, sucesso: 4
processo: 723, tentativas: 3, sucesso: 1
processo: 120, tentativas: 5, sucesso: 0
processo: 422, tentativas: 8, sucesso: 2
processo: 411, tentativas: 7, sucesso: 1
processo: 985, tentativas: 1, sucesso: 0
processo: 488, tentativas: 34, sucesso: 1
processo: 398, tentativas: 9, sucesso: 2
processo: 300, tentativas: 13, sucesso: 3
processo: 495, tentativas: 5, sucesso: 0
processo: 01, tentativas: 2, sucesso: 0
processo: 708, tentativas: 4, sucesso: 0
processo: 67, tentativas: 5, sucesso: 1
processo: 835, tentativas: 7, sucesso: 3
processo: 21, tentativas: 10, sucesso: 0
processo: 415, tentativas: 6, sucesso: 1
processo: 861, tentativas: 5, sucesso: 0
processo: 326, tentativas: 4, sucesso: 1
processo: 121, tentativas: 37, sucesso: 1
processo: 61, tentativas: 5, sucesso: 3
processo: 655, tentativas: 13, sucesso: 3
processo: 770, tentativas: 2, sucesso: 0
processo: 340, tentativas: 7, sucesso: 3
processo: 394, tentativas: 12, sucesso: 0
processo: 749, tentativas: 9, sucesso: 1
processo: 972, tentativas: 4, sucesso: 3
processo: 701, tentativas: 4, sucesso: 0
processo: 383, tentativas: 6, sucesso: 0
processo: 110, tentativas: 4, sucesso: 2
processo: 261, tentativas: 8, sucesso: 4
processo: 372, tentativas: 9, sucesso: 2
processo: 122, tentativas: 10, sucesso: 0
processo: 645, tentativas: 3, sucesso: 0
processo: 290, tentativas: 11, sucesso: 3
processo: 246, tentativas: 5, sucesso: 2
processo: 826, tentativas: 11, sucesso: 1
processo: 306, tentativas: 2, sucesso: 1
processo: 652, tentativas: 3, sucesso: 0
processo: 392, tentativas: 6, sucesso: 2
processo: 437, tentativas: 7, sucesso: 4
processo: 90, tentativas: 9, sucesso: 1
processo: 916, tentativas: 2, sucesso: 1
processo: 114, tentativas: 10, sucesso: 0
processo: 408, tentativas: 3, sucesso: 2
processo: 400, tentativas: 1, sucesso: 0
processo: 316, tentativas: 11, sucesso: 2
processo: 483, tentativas: 5, sucesso: 3
processo: 460, tentativas: 9, sucesso: 0
processo: 297, tentativas: 2, sucesso: 0
processo: 698, tentativas: 9, sucesso: 4
processo: 335, tentativas: 7, sucesso: 0
processo: 271, tentativas: 1, sucesso: 0
processo: 60, tentativas: 11, sucesso: 3
processo: 780, tentativas: 3, sucesso: 0
processo: 883, tentativas: 3, sucesso: 0
processo: 961, tentativas: 4, sucesso: 0
processo: 504, tentativas: 6, sucesso: 0
processo: 447, tentativas: 3, sucesso: 0
processo: 906, tentativas: 3, sucesso: 1
processo: 786, tentativas: 13, sucesso: 0
processo: 206, tentativas: 5, sucesso: 0
processo: 878, tentativas: 2, sucesso: 0
processo: 195, tentativas: 4, sucesso: 0
processo: 872, tentativas: 2, sucesso: 0
processo: 558, tentativas: 2, sucesso: 0
processo: 47, tentativas: 14, sucesso: 3
processo: 75, tentativas: 12, sucesso: 4
processo: 943, tentativas: 5, sucesso: 1
processo: 148, tentativas: 8, sucesso: 2
processo: 850, tentativas: 6, sucesso: 1
processo: 860, tentativas: 11, sucesso: 1
processo: 239, tentativas: 5, sucesso: 1
processo: 336, tentativas: 6, sucesso: 1
processo: 854, tentativas: 9, sucesso: 3
processo: 728, tentativas: 6, sucesso: 2
processo: 740, tentativas: 2, sucesso: 0
processo: 646, tentativas: 5, sucesso: 2
processo: 03, tentativas: 7, sucesso: 0
processo: 523, tentativas: 9, sucesso: 1
processo: 853, tentativas: 6, sucesso: 3
processo: 165, tentativas: 4, sucesso: 1
processo: 705, tentativas: 2, sucesso: 0
processo: 10, tentativas: 6, sucesso: 1
processo: 980, tentativas: 1, sucesso: 0
processo: 475, tentativas: 6, sucesso: 0
processo: 132, tentativas: 6, sucesso: 2
processo: 911, tentativas: 4, sucesso: 0
processo: 154, tentativas: 2, sucesso: 0
processo: 801, tentativas: 6, sucesso: 3
processo: 605, tentativas: 4, sucesso: 0
processo: 446, tentativas: 5, sucesso: 0
processo: 959, tentativas: 7, sucesso: 2
processo: 595, tentativas: 5, sucesso: 0
processo: 439, tentativas: 13, sucesso: 2
processo: 543, tentativas: 2, sucesso: 0
processo: 72, tentativas: 16, sucesso: 0
processo: 936, tentativas: 10, sucesso: 0
processo: 403, tentativas: 5, sucesso: 1
processo: 413, tentativas: 8, sucesso: 0
processo: 642, tentativas: 7, sucesso: 0
processo: 823, tentativas: 3, sucesso: 1
processo: 433, tentativas: 2, sucesso: 0
processo: 625, tentativas: 6, sucesso: 2
processo: 156, tentativas: 1, sucesso: 0
processo: 255, tentativas: 8, sucesso: 1
processo: 779, tentativas: 5, sucesso: 0
processo: 283, tentativas: 2, sucesso: 1
processo: 182, tentativas: 3, sucesso: 1
processo: 686, tentativas: 5, sucesso: 1
processo: 70, tentativas: 3, sucesso: 1
processo: 435, tentativas: 4, sucesso: 3
processo: 836, tentativas: 2, sucesso: 1
