00, 1,  0
896, 2,  0
270, 10,  4
933, 6,  1
776, 4,  0
726, 4,  2
902, 7,  0
771, 10,  0
02, 4,  0
244, 10,  2
343, 3,  1
220, 7,  1
337, 6,  5
12, 1,  0
407, 3,  0
46, 3,  0
903, 2,  1
303, 1,  0
737, 1,  0
785, 8,  0
941, 3,  1
847, 19,  0
907, 4,  1
151, 5,  2
985, 16,  2
54, 3,  0
597, 23,  2
330, 8,  1
67, 2,  1
856, 11,  1
891, 2,  0
753, 8,  3
47, 10,  1
897, 13,  2
562, 11,  1
99, 3,  1
712, 7,  3
320, 6,  1
322, 2,  0
528, 2,  0
589, 7,  0
900, 7,  1
716, 3,  0
879, 9,  0
457, 3,  0
843, 16,  2
342, 4,  1
694, 7,  1
288, 2,  1
334, 5,  1
03, 4,  1
459, 3,  1
78, 12,  1
654, 8,  1
675, 4,  1
653, 4,  0
362, 29,  2
732, 4,  2
241, 8,  1
203, 18,  1
815, 7,  1
820, 2,  0
618, 8,  1
176, 4,  1
955, 6,  0
461, 3,  1
234, 6,  2
452, 17,  4
267, 2,  0
529, 4,  2
242, 4,  2
832, 3,  1
84, 1,  0
689, 3,  0
687, 10,  1
695, 2,  1
808, 1,  0
199, 9,  2
180, 15,  0
135, 8,  1
805, 11,  0
600, 2,  0
174, 3,  1
515, 2,  1
240, 5,  0
734, 2,  0
359, 2,  0
375, 10,  3
938, 12,  4
524, 5,  0
789, 1,  0
30, 15,  1
557, 7,  2
552, 7,  2
599, 1,  0
142, 7,  2
326, 5,  1
587, 3,  1
264, 5,  1
476, 10,  2
60, 10,  1
956, 6,  3
228, 7,  2
223, 6,  2
417, 5,  2
821, 1,  0
335, 1,  0
31, 1,  0
978, 7,  1
986, 1,  0
690, 9,  3
415, 2,  1
421, 3,  1
18, 1,  0
472, 4,  2
204, 3,  1
497, 4,  1
638, 4,  2
994, 3,  0
406, 1,  0
825, 2,  0
449, 1,  0
219, 4,  3
661, 12,  0
280, 4,  2
118, 3,  0
474, 3,  0
217, 1,  0
679, 4,  0
913, 9,  2
627, 6,  0
64, 10,  0
824, 4,  2
475, 1,  0
227, 7,  1
279, 5,  2
291, 1,  0
490, 2,  1
426, 3,  2
