processo: 00, tentativas: 1, sucesso: 0
processo: 896, tentativas: 2, sucesso: 0
processo: 270, tentativas: 10, sucesso: 4
processo: 933, tentativas: 6, sucesso: 1
processo: 776, tentativas: 4, sucesso: 0
processo: 726, tentativas: 4, sucesso: 2
processo: 902, tentativas: 7, sucesso: 0
processo: 771, tentativas: 10, sucesso: 0
processo: 02, tentativas: 4, sucesso: 0
processo: 244, tentativas: 10, sucesso: 2
processo: 343, tentativas: 3, sucesso: 1
processo: 220, tentativas: 7, sucesso: 1
processo: 337, tentativas: 6, sucesso: 5
processo: 12, tentativas: 1, sucesso: 0
processo: 407, tentativas: 3, sucesso: 0
processo: 46, tentativas: 3, sucesso: 0
processo: 903, tentativas: 2, sucesso: 1
processo: 303, tentativas: 1, sucesso: 0
processo: 737, tentativas: 1, sucesso: 0
processo: 785, tentativas: 8, sucesso: 0
processo: 941, tentativas: 3, sucesso: 1
processo: 847, tentativas: 19, sucesso: 0
processo: 907, tentativas: 4, sucesso: 1
processo: 151, tentativas: 5, sucesso: 2
processo: 985, tentativas: 16, sucesso: 2
processo: 54, tentativas: 3, sucesso: 0
processo: 597, tentativas: 23, sucesso: 2
processo: 330, tentativas: 8, sucesso: 1
processo: 67, tentativas: 2, sucesso: 1
processo: 856, tentativas: 11, sucesso: 1
processo: 891, tentativas: 2, sucesso: 0
processo: 753, tentativas: 8, sucesso: 3
processo: 47, tentativas: 10, sucesso: 1
processo: 897, tentativas: 13, sucesso: 2
processo: 562, tentativas: 11, sucesso: 1
processo: 99, tentativas: 3, sucesso: 1
processo: 712, tentativas: 7, sucesso: 3
processo: 320, tentativas: 6, sucesso: 1
processo: 322, tentativas: 2, sucesso: 0
processo: 528, tentativas: 2, sucesso: 0
processo: 589, tentativas: 7, sucesso: 0
processo: 900, tentativas: 7, sucesso: 1
processo: 716, tentativas: 3, sucesso: 0
processo: 879, tentativas: 9, sucesso: 0
processo: 457, tentativas: 3, sucesso: 0
processo: 843, tentativas: 16, sucesso: 2
processo: 342, tentativas: 4, sucesso: 1
processo: 694, tentativas: 7, sucesso: 1
processo: 288, tentativas: 2, sucesso: 1
processo: 334, tentativas: 5, sucesso: 1
